"id","link"
1,"https://canadiannanny.ca/care/i-am-a-20-year-old-female-who-is-offering-childcare-very-passionate-about-helping-children-learn-and-grow-canadian-nanny-provider-kitchener-on"
2,"https://canadiannanny.ca/care/toronto-nanny-experienced-caring-affordable-200hr-canadian-provider-on"
3,"https://canadiannanny.ca/care/seeking-a-childminder-job-in-nobleton-ontario-canadian-nanny-provider-on"
4,"https://canadiannanny.ca/care/dedicated-nanny-in-mississauga-ontario-canadian-provider-on-1"
5,"https://canadiannanny.ca/care/alvinston-private-nanny-searching-for-work-canadian-provider-on"
6,"https://canadiannanny.ca/care/etobicoke-nanny-experienced-and-reliable-caregiver-20hourly-canadian-provider-on"
7,"https://canadiannanny.ca/care/toronto-nanny-20hr-trustworthy-reliable-positive-attitude-adaptable-kindness-work-ethic-canadian-provider-on"
8,"https://canadiannanny.ca/care/charismatic-funloving-nannysitter-available-asap-canadian-nanny-provider-kitchener-on"
9,"https://canadiannanny.ca/care/experienced-nanny-looking-for-work-with-child-care-and-light-housekeeping-offered-in-guelph-canadian-provider-on"
10,"https://canadiannanny.ca/care/im-mya-dean-a-15-year-old-girl-in-high-school-looking-for-job-that-allows-me-to-connect-and-collaborate-canadian-nanny-provider-kitchener-on"
11,"https://canadiannanny.ca/care/york-on-nanny-reliable-and-experienced-care-20hr-ready-to-love-your-family-canadian-provider"
12,"https://canadiannanny.ca/care/mexican-nanny-canadian-provider-toronto-on-3"
13,"https://canadiannanny.ca/care/experienced-nanny-in-toronto-ontario-155hour-caring-for-children-with-love-canadian-provider-on"
14,"https://canadiannanny.ca/care/polite-nanny-canadian-provider-waterloo-on"
15,"https://canadiannanny.ca/care/passionate-nanny-for-your-home-canadian-provider-toronto-on-1"
16,"https://canadiannanny.ca/care/caring-child-carer-for-hire-canadian-nanny-provider-toronto-on"
17,"https://canadiannanny.ca/care/reliable-and-experienced-nanny-in-north-york-160-per-hour-canadian-provider-on"
18,"https://canadiannanny.ca/care/looking-for-occasional-friday-saturday-nights-canadian-nanny-provider-london-on"
19,"https://canadiannanny.ca/care/hello-i-am-a-20-year-old-nursing-student-looking-for-some-parttime-and-more-casual-babysitting-opportunities-canadian-nanny-provider-mississauga-on"
20,"https://canadiannanny.ca/care/available-for-toronto-care-worker-opportunity-canadian-nanny-provider-on-1"
21,"https://canadiannanny.ca/care/aj-kaddoura-providing-childhouse-care-canadian-nanny-provider-nepean-on"
22,"https://canadiannanny.ca/care/experienced-brampton-nanny-160hr-loving-care-activities-fun-safety-assured-canadian-provider-on"
23,"https://canadiannanny.ca/care/york-on-nanny-seeking-family-experienced-and-responsible-20hourly-canadian-provider"
24,"https://canadiannanny.ca/care/ottawa-nanny-searching-for-being-hired-canadian-provider-on"
25,"https://canadiannanny.ca/care/friendly-and-caring-babysittermothers-helper-canadian-nanny-provider-oshawa-on"
26,"https://canadiannanny.ca/care/child-and-youth-care-student-with-safety-first-aid-certifications-experience-offering-services-canadian-nanny-provider-mississauga-on"
27,"https://canadiannanny.ca/care/seeking-an-opportunity-to-help-parents-with-care-canadian-nanny-provider-guelph-on-19"
28,"https://canadiannanny.ca/care/i-would-like-to-find-a-family-whom-can-help-in-the-care-and-wellbeing-of-their-children-canadian-nanny-provider-ottawa-on"
29,"https://canadiannanny.ca/care/seeking-an-opportunity-to-help-parents-with-care-in-winnipeg-canadian-nanny-provider-mb-17"
30,"https://canadiannanny.ca/care/experienced-babysitter-available-canadian-nanny-provider-cambridge-on-1"
31,"https://canadiannanny.ca/care/kind-and-friendly-nanny-in-search-of-family-canadian-provider-waterloo-on"
32,"https://canadiannanny.ca/care/looking-for-part-time-or-full-nanny-job-in-ilderton-london-ontario-the-summer-canadian-provider-on"
33,"https://canadiannanny.ca/care/seeking-an-opportunity-to-help-parents-with-care-in-durham-canadian-nanny-provider-ajax-on"
34,"https://canadiannanny.ca/care/reliable-nanny-in-london-on-16hr-caring-experienced-and-energetic-childcare-canadian-provider"
35,"https://canadiannanny.ca/care/offered-in-scarborough-canadian-nanny-provider-on-2"
36,"https://canadiannanny.ca/care/patient-and-funloving-nanny-pet-sitter-available-immediately-flexible-hours-canadian-provider-toronto-on"
37,"https://canadiannanny.ca/care/experienced-nanny-in-richmond-hill-ontario-18hr-caring-and-compassionate-canadian-provider-on"
38,"https://canadiannanny.ca/care/north-dumfriescambridgekitchener-area-caregiver-looking-for-job-opportunities-canadian-nanny-provider-waterloo-on"
39,"https://canadiannanny.ca/care/toronto-nanny-responsible-experienced-25hr-perfect-fit-for-your-family-canadian-provider-on"
40,"https://canadiannanny.ca/care/available-talented-in-home-daycare-provider-toronto-canadian-nanny-on"
41,"https://canadiannanny.ca/care/responsible-and-reliable-student-offering-parttime-babysitting-services-canadian-nanny-provider-london-on"
42,"https://canadiannanny.ca/care/polite-full-time-nanny-for-your-home-care-canadian-provider-chatham-on"
43,"https://canadiannanny.ca/care/professional-caregiver-in-mississauga-canadian-nanny-provider-on-1"
44,"https://canadiannanny.ca/care/vaughan-live-in-nanny-interviewing-for-job-opportunities-canadian-provider-on"
45,"https://canadiannanny.ca/care/experienced-north-york-nanny-25hr-fun-loving-reliable-care-for-your-family-canadian-provider-on"
46,"https://canadiannanny.ca/care/myself-shobha-thapa-an-international-student-staying-here-at-north-york-toronto-and-studying-fanshawe-dsw-course-canadian-nanny-provider-on"
47,"https://canadiannanny.ca/care/dear-parentsif-you-are-in-need-of-an-experience-live-nannylong-termavailable-now-dont-look-further-canadian-nanny-provider-toronto-on"
48,"https://canadiannanny.ca/care/i-am-a-university-student-looking-for-nanny-job-the-summer-canadian-provider-ottawa-on"
49,"https://canadiannanny.ca/care/caring-and-supportive-nanny-in-toronto-ontario-20hr-ready-to-provide-loving-care-canadian-provider-on"
50,"https://canadiannanny.ca/care/toronto-nanny-reliable-experienced-childcare-155hourly-fun-and-safe-environment-canadian-provider-on"
51,"https://canadiannanny.ca/care/capable-child-care-worker-for-your-home-canadian-nanny-provider-oakville-on"
