country,year,sample,serial,hhwt,geo1_ca2011,pernum,perwt,age,sex,bplcountry,citizen,empstat,empstatd,labforce,occisco,occ,indgen,ind,incearn
124,2011,124201101,19000,32.62,59,2,32.62,37,2,32040,3,1,100,2,3,35,112,14,700
124,2011,124201101,157000,32.03,35,3,32.03,35,2,33080,4,1,100,2,3,35,114,18,22400
124,2011,124201101,213000,32.1,59,2,32.1,39,2,33080,4,1,100,2,3,35,114,18,52600
124,2011,124201101,223000,32.03,35,2,32.03,48,2,24020,2,1,100,2,3,35,112,14,6900
124,2011,124201101,248000,32.03,35,3,32.03,24,2,24020,2,1,100,2,3,35,112,14,20900
124,2011,124201101,445000,32.1,59,2,32.1,48,2,31010,4,1,100,2,3,35,112,14,8100
124,2011,124201101,714000,32.1,59,2,32.1,64,2,24040,3,1,100,2,3,35,113,15,8800
124,2011,124201101,732000,32.02,48,2,32.02,62,2,24020,2,1,100,2,3,35,114,18,20800
124,2011,124201101,829000,40.26,59,2,40.26,21,2,24020,2,1,100,2,3,35,113,15,0
124,2011,124201101,847000,32.03,35,2,32.03,56,2,32100,3,1,100,2,3,35,112,14,20600
124,2011,124201101,879000,32.1,59,5,32.1,46,2,33080,4,1,100,2,3,35,114,18,8900
124,2011,124201101,906000,31.96,24,1,31.96,66,2,24020,2,1,100,2,3,35,112,14,0
124,2011,124201101,1057000,31.69,13,2,31.69,61,2,24020,2,1,100,2,3,35,113,15,7300
124,2011,124201101,1154000,32.03,35,3,32.03,17,2,24020,2,1,100,2,3,35,112,14,5600
124,2011,124201101,1272000,31.96,24,1,31.96,59,2,24020,2,3,300,1,3,35,113,15,12800
124,2011,124201101,1370000,32.02,48,2,32.02,61,2,32040,4,2,200,2,3,35,114,18,6000
124,2011,124201101,1551000,32.03,35,2,32.03,27,2,24020,2,1,100,2,3,35,112,14,16700
124,2011,124201101,1610000,31.64,10,2,31.64,70,2,24020,2,3,300,1,3,35,113,15,5200
124,2011,124201101,1655000,32.1,59,1,32.1,61,2,24020,2,1,100,2,3,35,113,15,5500
124,2011,124201101,1655000,32.1,59,3,32.1,17,2,24020,2,1,100,2,3,35,114,18,0
124,2011,124201101,1665000,32.03,35,5,32.03,43,2,33080,4,1,100,2,3,35,114,18,25000
124,2011,124201101,1668000,32.1,59,2,32.1,61,2,31010,3,1,100,2,3,35,113,15,49100
124,2011,124201101,1674000,32.03,35,2,32.03,40,2,39999,3,1,100,2,3,35,112,14,39800
124,2011,124201101,1736000,32.02,48,2,32.02,33,2,24020,2,1,100,2,3,35,112,14,33800
124,2011,124201101,1784000,32.03,35,4,32.03,33,2,33080,4,1,100,2,3,35,114,18,18200
